"Date","Brazilian Reals to One U.S. Dollar","Chinese Yuan to One U.S. Dollar","Hong Kong Dollars to One U.S. Dollar","Indian Rupees to One U.S. Dollar","Japanese Yen to One U.S. Dollar","Singapore Dollars to One U.S. Dollar","Swedish Kronor to One U.S. Dollar","Thai Baht to One U.S. Dollar"
"1971-01-04",,,,,357.73,,5.164,
"1971-01-05",,,,,357.81,,5.163,
"1971-01-06",,,,,357.86,,5.161,
"1971-01-07",,,,,357.87,,5.165,
"1971-01-08",,,,,357.82,,5.163,
"1971-01-11",,,,,357.95,,5.164,
"1971-01-12",,,,,358.06,,5.164,
"1971-01-13",,,,,358.44,,5.162,
"1971-01-14",,,,,358.4,,5.163,
"1971-01-15",,,,,358.4,,5.164,
"1971-01-18",,,,,358.29,,5.165,
"1971-01-19",,,,,358.35,,5.166,
"1971-01-20",,,,,358.4,,5.164,
"1971-01-21",,,,,358.27,,5.165,
"1971-01-22",,,,,357.9,,5.163,
"1971-01-25",,,,,357.73,,5.163,
"1971-01-26",,,,,357.78,,5.164,
"1971-01-27",,,,,357.79,,5.164,
"1971-01-28",,,,,357.83,,5.165,
"1971-01-29",,,,,357.72,,5.168,
"1971-02-01",,,,,357.67,,5.178,
"1971-02-02",,,,,357.55,,5.178,
"1971-02-03",,,,,357.54,,5.174,
"1971-02-04",,,,,357.51,,5.173,
"1971-02-05",,,,,357.53,,5.178,
"1971-02-08",,,,,357.49,,5.181,
"1971-02-09",,,,,357.5,,5.181,
"1971-02-10",,,,,357.5,,5.18,
"1971-02-11",,,,,357.5,,5.178,
"1971-02-16",,,,,357.53,,5.175,
"1971-02-17",,,,,357.53,,5.171,
"1971-02-18",,,,,357.53,,5.17,
"1971-02-19",,,,,357.56,,5.169,
"1971-02-22",,,,,357.6,,5.166,
"1971-02-23",,,,,357.55,,5.161,
"1971-02-24",,,,,357.6,,5.163,
"1971-02-25",,,,,357.56,,5.165,
"1971-02-26",,,,,357.56,,5.165,
"1971-03-01",,,,,357.63,,5.163,
"1971-03-02",,,,,357.56,,5.164,
"1971-03-03",,,,,357.49,,5.162,
"1971-03-04",,,,,357.45,,5.163,
"1971-03-05",,,,,357.59,,5.163,
"1971-03-08",,,,,357.55,,5.164,
"1971-03-09",,,,,357.46,,5.164,
"1971-03-10",,,,,357.59,,5.163,
"1971-03-11",,,,,357.56,,5.164,
"1971-03-12",,,,,357.58,,5.163,
"1971-03-15",,,,,357.54,,5.163,
"1971-03-16",,,,,357.49,,5.162,
"1971-03-17",,,,,357.53,,5.161,
"1971-03-18",,,,,357.56,,5.163,
"1971-03-19",,,,,357.56,,5.162,
"1971-03-22",,,,,357.44,,5.162,
"1971-03-23",,,,,357.53,,5.162,
"1971-03-24",,,,,357.53,,5.161,
"1971-03-25",,,,,357.47,,5.163,
"1971-03-26",,,,,357.47,,5.164,
"1971-03-29",,,,,357.44,,5.165,
"1971-03-30",,,,,357.49,,5.163,
"1971-03-31",,,,,357.42,,5.162,
"1971-04-01",,,,,357.49,,5.165,
"1971-04-02",,,,,357.53,,5.164,
"1971-04-05",,,,,357.5,,5.165,
"1971-04-06",,,,,357.46,,5.163,
"1971-04-07",,,,,357.55,,5.164,
"1971-04-08",,,,,357.55,,5.165,
"1971-04-09",,,,,357.5,,5.165,
"1971-04-12",,,,,357.5,,5.165,
"1971-04-13",,,,,357.62,,5.165,
"1971-04-14",,,,,357.58,,5.164,
"1971-04-15",,,,,357.5,,5.163,
"1971-04-16",,,,,357.54,,5.162,
"1971-04-19",,,,,357.49,,5.162,
"1971-04-20",,,,,357.49,,5.162,
"1971-04-21",,,,,357.49,,5.161,
"1971-04-22",,,,,357.49,,5.162,
"1971-04-23",,,,,357.49,,5.161,
"1971-04-26",,,,,357.5,,5.162,
"1971-04-27",,,,,357.49,,5.162,
"1971-04-28",,,,,357.5,,5.162,
"1971-04-29",,,,,357.41,,5.162,
"1971-04-30",,,,,357.4,,5.161,
"1971-05-03",,,,,357.41,,5.162,
"1971-05-04",,,,,357.4,,5.161,
"1971-05-05",,,,,357.4,,5.167,
"1971-05-06",,,,,357.41,,5.172,
"1971-05-07",,,,,357.41,,5.173,
"1971-05-10",,,,,357.14,,5.168,
"1971-05-11",,,,,357.44,,5.173,
"1971-05-12",,,,,357.53,,5.171,
"1971-05-13",,,,,357.49,,5.166,
"1971-05-14",,,,,357.49,,5.166,
"1971-05-17",,,,,357.4,,5.163,
"1971-05-18",,,,,357.44,,5.162,
"1971-05-19",,,,,357.4,,5.165,
"1971-05-20",,,,,357.46,,5.165,
"1971-05-21",,,,,357.4,,5.165,
"1971-05-24",,,,,357.4,,5.163,
"1971-05-25",,,,,357.4,,5.164,
"1971-05-26",,,,,357.44,,5.163,
"1971-05-27",,,,,357.4,,5.165,
"1971-05-28",,,,,357.4,,5.165,
"1971-06-01",,,,,357.46,,5.166,
"1971-06-02",,,,,357.4,,5.168,
"1971-06-03",,,,,357.46,,5.165,
"1971-06-04",,,,,357.4,,5.165,
"1971-06-07",,,,,357.4,,5.164,
"1971-06-08",,,,,357.4,,5.164,
"1971-06-09",,,,,357.4,,5.163,
"1971-06-10",,,,,357.4,,5.163,
"1971-06-11",,,,,357.4,,5.162,
"1971-06-14",,,,,357.4,,5.163,
"1971-06-15",,,,,357.46,,5.165,
"1971-06-16",,,,,357.46,,5.164,
"1971-06-17",,,,,357.46,,5.163,
"1971-06-18",,,,,357.4,,5.163,
"1971-06-21",,,,,357.4,,5.162,
"1971-06-22",,,,,357.4,,5.161,
"1971-06-23",,,,,357.4,,5.159,
"1971-06-24",,,,,357.4,,5.159,
"1971-06-25",,,,,357.4,,5.159,
"1971-06-28",,,,,357.37,,5.161,
"1971-06-29",,,,,357.39,,5.159,
"1971-06-30",,,,,357.4,,5.159,
"1971-07-01",,,,,357.4,,5.16,
"1971-07-02",,,,,357.4,,5.162,
"1971-07-06",,,,,357.45,,5.164,
"1971-07-07",,,,,357.46,,5.163,
"1971-07-08",,,,,357.46,,5.165,
"1971-07-09",,,,,357.4,,5.166,
"1971-07-12",,,,,357.41,,5.168,
"1971-07-13",,,,,357.44,,5.168,
"1971-07-14",,,,,357.4,,5.164,
"1971-07-15",,,,,357.4,,5.161,
"1971-07-16",,,,,357.4,,5.162,
"1971-07-19",,,,,357.39,,5.163,
"1971-07-20",,,,,357.39,,5.161,
"1971-07-21",,,,,357.4,,5.159,
"1971-07-22",,,,,357.37,,5.16,
"1971-07-23",,,,,357.36,,5.16,
"1971-07-26",,,,,357.4,,5.161,
"1971-07-27",,,,,357.37,,5.161,
"1971-07-28",,,,,357.4,,5.16,
"1971-07-29",,,,,357.4,,5.16,
"1971-07-30",,,,,357.39,,5.159,
"1971-08-02",,,,,357.41,,5.16,
"1971-08-03",,,,,357.37,,5.162,
"1971-08-04",,,,,357.37,,5.159,
"1971-08-05",,,,,357.37,,5.16,
"1971-08-06",,,,,357.37,,5.16,
"1971-08-09",,,,,357.35,,5.16,
"1971-08-10",,,,,357.39,,5.162,
"1971-08-11",,,,,357.35,,5.161,
"1971-08-12",,,,,357.4,,5.163,
"1971-08-13",,,,,357.35,,5.159,
"1971-08-23",,,,,,,5.105,
"1971-08-24",,,,,,,5.089,
"1971-08-25",,,,,,,5.086,
"1971-08-26",,,,,,,5.079,
"1971-08-27",,,,,,,5.067,
"1971-08-30",,,,,,,5.063,
"1971-08-31",,,,,339.85,,5.079,
"1971-09-01",,,,,341.01,,5.093,
"1971-09-02",,,,,338.98,,5.088,
"1971-09-03",,,,,340.14,,5.081,
"1971-09-07",,,,,339.79,,5.084,
"1971-09-08",,,,,339.39,,5.091,
"1971-09-09",,,,,339.07,,5.091,
"1971-09-10",,,,,338.81,,5.09,
"1971-09-13",,,,,338.98,,5.085,
"1971-09-14",,,,,338.24,,5.08,
"1971-09-15",,,,,338.41,,5.075,
"1971-09-16",,,,,337.84,,5.074,
"1971-09-17",,,,,337.95,,5.072,
"1971-09-20",,,,,337.27,,5.066,
"1971-09-21",,,,,337.34,,5.058,
"1971-09-22",,,,,337.44,,5.06,
"1971-09-23",,,,,337.27,,5.058,
"1971-09-24",,,,,336.98,,5.031,
"1971-09-27",,,,,336.25,,5.047,
"1971-09-28",,,,,336.36,,5.045,
"1971-09-29",,,,,335.57,,5.036,
"1971-09-30",,,,,335.35,,5.027,
"1971-10-01",,,,,333.39,,5.018,
"1971-10-04",,,,,333.17,,5.016,
"1971-10-05",,,,,333.14,,5.02,
"1971-10-06",,,,,332.65,,5.013,
"1971-10-07",,,,,332.61,,5.018,
"1971-10-08",,,,,332.37,,5.018,
"1971-10-12",,,,,330.52,,5.022,
"1971-10-13",,,,,331.4,,5.027,
"1971-10-14",,,,,330.85,,5.031,
"1971-10-15",,,,,330.58,,5.03,
"1971-10-18",,,,,329.6,,5.029,
"1971-10-19",,,,,330.85,,5.026,
"1971-10-20",,,,,331.07,,5.026,
"1971-10-21",,,,,330.79,,5.026,
"1971-10-22",,,,,330.36,,5.022,
"1971-10-26",,,,,329,,5.016,
"1971-10-27",,,,,329.54,,5.017,
"1971-10-28",,,,,329.71,,5.018,
"1971-10-29",,,,,329.5,,5.02,
"1971-11-01",,,,,329.45,,5.025,
"1971-11-03",,,,,329.5,,5.023,
"1971-11-04",,,,,330.87,,5.025,
"1971-11-05",,,,,329.16,,5.02,
"1971-11-08",,,,,329.22,,5.022,
"1971-11-09",,,,,329.16,,5.021,
"1971-11-10",,,,,329.11,,5.021,
"1971-11-11",,,,,329.11,,5.02,
"1971-11-12",,,,,329.49,,5.014,
"1971-11-15",,,,,328.73,,5.014,
"1971-11-16",,,,,328.62,,5.009,
"1971-11-17",,,,,328.8,,5.007,
"1971-11-18",,,,,328.68,,5.009,
"1971-11-19",,,,,328.4,,5.004,
"1971-11-22",,,,,328.41,,5.001,
"1971-11-23",,,,,328.19,,4.99,
"1971-11-24",,,,,328.04,,4.978,
"1971-11-26",,,,,327.6,,4.957,
"1971-11-29",,,,,327.06,,4.943,
"1971-11-30",,,,,327.44,,4.957,
"1971-12-01",,,,,327.6,,4.935,
"1971-12-02",,,,,326,,4.926,
